volume,category,title,source_unit,content_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,tags,booklet,chapter,topic
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,曉莉想参加暑假某國際巨星的演唱會，下圖是演唱會的平面圖，根據舆表演舞台的遠近判，哪一個位 置的票價可能最低？ 舞台 甲 甲,(A)甲,(B)乙,(C)丙,(D厅,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,下列四幅地圖中，A、B雨地距離何者最長? .B A·,1:500 A,1:1000 .B,1:5000,1:10000,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,吉姆在無意中獲得一張藏寳圖(如附圖)，但因為此圖破舊，圖上比例尺已難辨，不過吉姆知道圖上瑪 雅祭臺與王山兩地的實際距離約為10公里，地圖上两地距離為1公分，請問該圖的比例尺最可能為下列何者？ 之湖 印地安恢篷 ·玛雅条量 广王山 瑞颂虎之谷 藏寶處,1:1000,1:10000,1:1000000,1:10000000,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,志明想带春以步行方式品唱鹽埕區阿婆冰、阿曬哈味等著名小吃，则带以下哪一種比例尺地圖最 合適？,1: 500000,1: 50000,1: 5000,1: 50,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,下列關於大、小比例尺的比较，何者『錯误』？,比例尺,圍 (B),内容 (C) (DD),翠例 大比例尺 1/500 较小 较详细 世界地圖 小比例尺 1/500000 较大 较簡略 高雄市地圖 (V)(v),D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,某空軍的例行飛行計畫，预定臺中清泉岗機場起飛，目標為束沙島，請由下圖判，此時飛機最有可 能朝圖中哪一條航線飛行？ 中,甲,乙,丙,丁,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,「昨晚到今天早上6：00，當地已降了1000公的雨量，山區的大石灰雜著巨木滚滚而下，暴涨的溪 水，有如滚滚黄河，山上的道路早已是柔腸寸----」，請上述的新聞稿中判，此重的情最有可能出現 在下圖中的哪一個地區？ Z 丙 海,(A)甲,(B)乙,(C)丙,L(),A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,小仲在新生自傅中寫著：「今年七月是我國小生涯中最後的一個暑假，為了要祝我成為國中生，爸爸 决定带我們全家出國赏雪...」。請上文中分析，小仲一家人最有可能走下圖中哪一地點?,(A)甲,Z(a),(C)丙,(D)丁,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,臺中火車站的第一月台為北上列車行，第二月台為南下列車行，請你判下列哪班列車應停靠第 一月台？ 第甲月台 第乙月台 自強號 電联號 開往松山 開往嘉義 第丙月台 第丁月台 莒光號 復典號 開往台束 開往新竹,甲乙,丙丁,甲丁,乙丙,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
第一冊,臺灣的自然環境,92課綱-地圖運用,社會第一冊_臺灣的自然環境_92課綱-地圖運用,小芬想利用這個假日探望外婆，於是打算先上高速公路北行，下交流道之後再往西行，那廖根據右圖 小芬應下哪一個交流道下高速公路？,A,B,c,D,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-地圖運用 | 社會第一冊_臺灣的自然環境_92課綱-地圖運用,第一冊,臺灣的自然環境,92課綱-地圖運用
