volume,category,title,source_unit,content_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,tags,booklet,chapter,topic
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,自然／第 1 冊／動物的協調與恆定／動物的內分泌系統 ／【題目卷】 《魔戒》中，咕魯體型消瘦，眼球突出，性情容易急躁不安，這與哪一種腺體分泌失調相關？,腦垂腺,甲狀腺,副甲狀腺,胰島,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,2007年世界紀錄最高的人為烏克蘭男子斯達尼克其高度有257公分，據調查他十四歲開刀刺激到內分泌 腺體，請問他何種腺體被刺激而影響身高？,甲狀腺,副甲狀腺,腦垂腺,腎上腺,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,蝌蚪發育成青蛙的過程和行為一直受到科學家的研究探討，請問下列何者正確？,這個過程稱為完全變態,若切除腦垂腺，蝌蚪可能無法變為青蛙,蝌蚪是青蛙的精子,公蛙的叫聲對所有母蛙都有反應,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,哪一組內分泌腺和激素的組合錯誤,腎臟：腎上腺素,胰臟：胰島素,胰臟：升糖素,腦垂腺：生長激素,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列有關激素的敘述何者錯誤？ 激素又稱「費洛蒙」,可由動物體內的內分泌腺分泌,可隨著血液輸送到動物體的某些部位以產生作用,通常少量的激素就能調節生物體的活動，保持生物體,平衡。,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,通常少量的激素就能調節生物體的活動，保持生物體 比較人體內內分泌系統與神經系統的特性，以下敘述何者正確？ 內分泌系統在身體內的影響範圍較廣泛。,內分泌系統在身體內所傳遞的訊息多為短暫不持久,的。,內分泌系統對身體所產生的影響較迅速。,神經系統對身體的生長發育影響較大。,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列何者的分泌物不是由血液運送?,腎上腺,唾腺,胰島,甲狀腺,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,"下列有關激素的敘述,何者正確?",可直接作用於該激素本身的器官,激素可調控身體機能，所以分泌越多越有益,由腺體分泌後，經由導管運送到部位引起作用,與神經系統比較，激素的作用較慢，持續時間較久,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,與神經系統比較，激素的作用較慢，持續時間較久 下列構造何者兼具內分泌腺和外分泌腺功能的是：,甲狀腺,腎上腺,肝臟,胰臟,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列何項不是胰島分泌物質的功能？,消化蛋白質、脂質、葡萄糖,使肝糖分解為葡萄糖,使葡萄糖轉變為肝糖而儲藏,促使細胞吸收血液中的葡萄糖,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,某人生病後，破壞了胰臟的內分泌細胞，由此可推測,對葡萄糖的代謝無影響,血糖濃度低，尿液中葡萄糖亦低,他的血液與尿液含有很高濃度的葡萄糖,其血糖濃度正常，尿液中含高濃度葡萄糖,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺如分泌過多， 會使個體的代謝作用過度旺盛，並造成神經興奮與心跳加快等現 象，導致體重會減輕，身體消瘦？,副甲狀腺,腎上線,甲狀腺,胰島,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種腺體所分泌的物質，是經由血液來運輸至目標地的？,腎上腺,汗腺,胃腺,肝臟,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,人體的內分泌系統所分泌的物質稱為？,酵素,激素,葡萄糖,膽汁,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,當人體血糖濃度過低時，會促進哪一種內分泌激素的分泌，使儲存在肝臟細胞中的肝醣轉變成葡萄 糖，進入血液中，以提高血糖濃度，使血糖回升到正常範圍？,升糖素,胰島素,甲狀腺素,副甲狀腺素,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素分泌不足時，會造成身體長期血糖濃度過高，形成糖尿病？,胰島素,升糖素,腎上腺素,副甲狀腺素,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，會促使細胞利用血糖，或使血糖進入肝臟和肌肉中，轉變成肝醣來儲存，藉 此降低血糖濃度？,胰島素,升糖素,腎上腺素,副甲狀腺素,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，不會影響人體內血糖的調節？,胰島素,升糖素,腎上腺素,副甲狀腺素,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，負責調節血液中鈣、磷的濃度，以影響人體中骨骼的生長與肌肉的收縮？,腎上腺素,甲狀腺素,副甲狀腺素,胰島素,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，會控制細胞的代謝作用，以調節人體的生長？,甲狀腺素,生長激素,胰島素,升糖素,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，能促使儲存在肝臟中的肝醣轉變成葡萄糖，增加血糖濃度，使心跳加快、血 壓上升，以應付危急的狀況？,胰島素,升糖素,腎上腺素,甲狀腺素,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺，是性腺的一種，？,腦垂腺,睪丸,腎上腺,胰島,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,有關內分泌腺與其所在之身體部位的配對，下列何者正確？,甲狀腺—頸部,胰島—頭部,腎上腺—胸部,腦垂腺—腹部,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列激素中，何者能促使肝糖分解為葡萄糖進入血液，使血糖濃度增高？,生長激素,胰島素,甲狀腺素,腎上腺素,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,有關神經系統和內分泌系統的敘述，下列何者正確？,神經系統的作用快速且久,神經系統的影響範圍較內分泌系統廣泛,內分泌系統由腦垂腺、甲狀腺和唾腺等腺體所組成,神經系統由神經細胞傳遞訊號,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,人體中的哪一個構造既能分泌激素，也能分泌消化作用的酵素？,腎臟,腦,胰臟,肝臟,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪兩項系統負責人類面對外來刺激的反應與協調？,循環系統、免疫系統,免疫系統、神經系統,內分泌系統、循環系統,神經系統、內分泌系統,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,小倩爸媽的身高都很高，可是他卻是侏儒。可能原因是小倩體內何種激素的分泌出問題所致？,腎上腺素分泌過少,生長素分泌過少,腎上腺素分泌過多,腦垂腺素分泌過多,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,「狗急跳牆」是因為哪一種內分泌腺作用所產生的現象？,性腺,腎上腺,副甲狀腺,腦垂腺,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,女性空服員常有月經週期異常的現象，這是因為時差因素經由神經系統刺激何種腺體所致？,腦垂腺,副甲狀腺,腎上腺,甲狀腺,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,在運動比賽中，腎上腺素屬於禁藥，選手不能注射，否則有違公平競爭，這是因為腎上腺素可能會使 人體出現以下何種生理反應？,緩和血壓，放鬆心情,使肌肉產生比平常大的收縮力量,增進食慾，補充養分,使胃腸蠕動加快，幫助消化,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪些激素的分泌情形，會直接影響個體的生長？,甲狀腺素、腎上腺素,副甲狀腺素、腎上腺素,甲狀腺素、胰島素,生長素、甲狀腺素,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,小倩升上國中後，發覺胸部變豐滿、聲音變纖細且有月經來潮，這些現象的表現都和哪一種腺體所分 泌的激素有關？,甲狀腺,腎上腺,睪丸,卵巢,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,在人類面對外來刺激的協調反應中，哪一個系統作用緩慢而持久？,內分泌系統,循環系統,神經系統,免疫系統,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,人體中何種內分泌腺可以影響其他內分泌腺體的活動？,腎上腺,甲狀腺,性腺,腦垂腺,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,小倩尿液加入本氏液後再加熱，結果呈橘紅色。請問小倩可能是身體的哪一個構造出問題了？,腎臟,胰臟,以上都可能,以上都不可能,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列有關生理作用與激素的配對，何者正確？,促進細胞代謝作用—腎上腺,提高血糖濃度—雄性激素,影響其他內分泌腺的作用—腦垂腺的促進激素,第二性徵的產生—副甲狀腺素,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺分泌不足，會使在生長期間的個體的生長發育受到影響，有時還會影響到智力的 發展？,副甲狀腺,腎上線,甲狀腺,胰島,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,糖尿病患者通常會有「三多」現象，請問下列選項合者錯誤？,想太多,尿多,喝多,吃多,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺，會分泌雌性激素，促進人體內卵的成熟與發育，並影響女性第二性徵？,腎上腺,腦垂腺,睪丸,卵巢,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺，會分泌雄性激素，促進人體內精子的成熟與發育，並影響男性第二性徵？,睪丸,卵巢,甲狀腺,腦垂腺,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一種內分泌激素，會在人體運動或遭遇緊急狀況時，分泌量增加？,甲狀腺素,副甲狀腺素,胰島素,腎上腺素,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺所分泌的激素，若在生長期間分泌過多或過少，會影響個體的發育，造成巨人症 或侏儒症？,甲狀腺,腦垂腺,腎上腺,胰臟,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺，會分泌控制人體生長發育的主要激素？,腎上腺,甲狀腺,腦垂腺,胰臟,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的內分泌系統,自然第一冊_動物的協調與恆定_動物的內分泌系統,下列哪一個內分泌腺，可以分泌多種激素，以影響人體內其他內分泌腺體的分泌？,腦垂腺,甲狀腺,腎上腺,胰臟,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的內分泌系統 | 自然第一冊_動物的協調與恆定_動物的內分泌系統,第一冊,動物的協調與恆定,動物的內分泌系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,自然／第 1 冊／動物的協調與恆定／動物的神經系統 ／【題目卷】 黃色的海綿寶寶實在太可愛了，所以緊盯著他的頭看，結果移到空白紙上，會變成什麼顏色呢？,黃色,藍色,紅色,黑色,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,基隆國三學生疑似因拔河中風，導致身體右半邊麻痺，口齒不清，試問他是何種構造受損？,右大腦,左大腦,小腦,腦幹,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,肌萎縮性脊髓側索硬化症（Amyotrophic Lateral Sclerosis）簡稱A.L.S.，也就是俗稱的漸凍人症。發病 原因為某種神經元退化導致四肢肌肉、呼吸與吞嚥或舌肌出現萎縮無力症狀；這種肌肉無力、日漸萎縮的疾,病，會在2至10年內慢慢地蔓延至全身部位，最後連呼吸的力量也會慢慢減弱，也就是說，患者會在意識清楚地,狀況下感受生命逐漸消逝。就上述漸凍人可能為何種神經元退化所導致？,運動神經元,感覺神經元,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,有關反射何者錯誤？,未經大腦所產生的局部反應,瞳孔放大與縮小,針刺手立刻收回,看到題目馬上寫答案,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,候鳥會有季節性的遷移行為，是和體內的什麼物質有關？,酵素,抗生素,維生素,激素,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,下列何者屬於「先天行為」？,嬰兒說話,蜘蛛結網,學習數學,上網,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,吳淑貞女士因出車禍導致下半身癱瘓，試問她可能傷及中樞神經的哪個部位?,甲,乙,丙,丁,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,學習的行為和下列哪一個系統關係最密切?,排泄系統,神經系統,內分泌系統,循環系統,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,"下列敘述,何者是錯誤的?",人體神經元總數隨年齡增長而增加,越複雜的行為，大腦的參與越多,動物的行為必須有神經系統參與,人體神經纖維的分支隨年齡增長而增加,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
第一冊,動物的協調與恆定,動物的神經系統,自然第一冊_動物的協調與恆定_動物的神經系統,甲.大腦；乙.脊髓；丙.感覺神經元；丁.運動神經元；戊.手部肌肉；己.眼睛。打桌球時，從看到球再用 球拍接球的整個過程中，訊息的傳導途徑依序為何？,己→丁→乙→甲→丙→戊,己→丙→乙→甲→丁→戊,己→丁→甲→乙→丙→戊,己→丙→甲→乙→丁→戊,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,動物的神經系統 | 自然第一冊_動物的協調與恆定_動物的神經系統,第一冊,動物的協調與恆定,動物的神經系統
