volume,category,title,source_unit,question_no,content_text,option_a,option_b,option_c,option_d,correct_answer,explanation,tags,difficulty,booklet,chapter,topic
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,1,若父親的體重是兒子體重的2倍多6公斤，且父親的體重為×公斤，则兒子的體重為多少公斤？ (A)2x+6 (B)x+6 (C),,,,,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,2,若原子筆一打賣k元，则買2枝需付多少元？,2k 1-2 k （3、 X 7x,1-3 k,k,以上皆非。,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,3,『哈利波特6－混血王子的背叛』全球熱賣中，新新書店大降價每本售價x元，而竹竹書店每本售價比新 新書店多 倍，請問：竹竹書店每本售價多少錢？ 以上皆非。,,,,,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,4,『哈利波特6－混血王子的背叛』全球熱中，新新書店大降價每本售價x元，而竹竹書店每本售價比新 新書店多6倍，請問：竹竹書店每本售價多少？,在『7x-(-6x)一式中位置介於7x與(-6x)之間的『-』怎廖讀?,(A)只能讀作『减』,(B)只能讀作『負』,(C)可以讀作『减』，也可以讀作『負』。,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,5,兔赛跑！已知兔子速度每秒比鳥多跑5公尺，则兔同時同地同方向出發p秒後，兔相距多少公 尺？,5-P,5+p,5xP,5÷P,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,6,甲乙雨人在直線跑道上比跑步，已知甲速度3m/s，乙速度5m/s，则雨人同時同地同方向出發20秒後，则 兩人相距多少公尺？,10,20,30,40公尺 42x-(-5x)+(-9)=38o,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,7,解下列一元一次方程式：,2,1,o,-1 -+3-y,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,9,解一元一次方程式：,1,2,3,4,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,10,小光原有若干元，他用所有的“買一台數位相機，再用剩餘的的“買一台CD播放器，結果剩 下3600元，则他買數位相機一台花了元?,3000,3600,7200,14400,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,11,垂垂國中管樂團有若干人，已知男生人數比全團人數的²少5人，女生人數為全團人數的～多11人， 则華華國中管樂團的女生有 人。,23,20,18,16,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,12,若x=5是ax+3=23的解，则a=,-4,-5.2,5.2,4,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,13,五個連續奇數依照由小而大的順序排列，第三個為x，那鹰最大的數是,x+2,x+3,x+4,x+6,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,14,有五個連續奇數，其中最小的一個為x，则最大的為,x+4,x+6,x+8,x+10,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,15,小垂今年x崴，雨年前父親年龄是雨年前小垂年龄的7倍，则小父親現年 崴。,7x-12,7x-14,7x-2,7x+2,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
數學第一冊,一元一次方程式,以符號代表數,數學第一冊_一元一次方程式_以符號代表數,16,若将一大正方形張對擢2次以後所得之小正方形長為a公分，则原大正方形面為 平方公分,α²,2α,2α²,4α² 25（ 5，则,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,以符號代表數 | 數學第一冊_一元一次方程式_以符號代表數,2,數學第一冊,一元一次方程式,以符號代表數
