volume,category,title,source_unit,content_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,tags,booklet,chapter,topic
第一冊,認識自然與生活科技,不斷運動的小粒子,自然第一冊_認識自然與生活科技_不斷運動的小粒子,自然／第 1 冊／認識自然與生活科技／不斷運動的小粒子 ／【答案卷】 有關擴散現象中粒子運動情形的敘述下列何者錯誤？,由粒子密集的區域往稀疏的區域運動,擴散是溶質在溶劑中自由運動的現象,由於粒子的擴散使溶液中各處濃度相同,擴散運動到達均勻平衡時，粒子即停止不動,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,不斷運動的小粒子 | 自然第一冊_認識自然與生活科技_不斷運動的小粒子,第一冊,認識自然與生活科技,不斷運動的小粒子
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,自然／第 1 冊／認識自然與生活科技／時間與空間的大小 ／【題目卷】 表示時間的單位有很多種，我們會為了不同的目的而使用不同的單位，請下下列哪一個時間單位代表的 時距最長？,時,月,年,光年,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,阿倫想約同學去看電影，下列何者最適合用來表示約會的時間？,太陽下山之後,電影開場之前,下午六點三十分,十八點二十七分三十六秒,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,小威想知道玩具車前進的速率，他應該選擇下列哪一組工具？,尺和碼錶,碼錶和量筒,量筒和燒杯,燒杯和尺,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,下列哪一個選項代表的體積最大？,100平方公尺,3000毫升,2公升,300公斤,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,想要研究地球的板塊運動，用哪一個時間單位較適合？,年,月,天,時,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,寒假過後，同學們聚在一起討論假期生活，請你判斷一下，哪一位同學的說法是不合常理的呢？,娜美：我乘船出海，航行了300公里，發現一個小島,香吉士：我用顯微鏡觀察海水，發現了一個長度約 0.5公分的細菌,魯夫：我在餐廳裡遇到一個身高200公分的大個子,索隆：昨天在海港看到的那艘船足足有100公尺長,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,索隆：昨天在海港看到的那艘船足足有100公尺長 下列哪一個敘述是不完整的？,這個地球儀的直徑有30公分,螞蟻的平圴身長是0.5,課本的厚度有1公分,一節課的時間是45分鐘,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,科學家們在計算星系間的距離時，通常使用哪一種單位？,奈米,公尺,公里,光年,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
第一冊,認識自然與生活科技,時間與空間的大小,自然第一冊_認識自然與生活科技_時間與空間的大小,下列各個物理量的描述，哪一個是在描述距離?,一大卡,二公升,三光年,四公斤,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,時間與空間的大小 | 自然第一冊_認識自然與生活科技_時間與空間的大小,第一冊,認識自然與生活科技,時間與空間的大小
