volume,category,title,source_unit,content_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,tags,booklet,chapter,topic
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,1980 年南迴鐵路台東站工程進行中，發現大批史前遺物有石鋤、石矛、陶紡輪、式樣繁多的玉器飾 品，以及環太平洋與東南亞規模最大的石板棺墓葬群，由上列資料我們可以推論此一史前遺址：,與「靜浦文化」同一時期,仍停留在漁獵時期不知農耕,具有審美觀念與工藝技術能力,和中國東南沿海有密切往來。,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,臺灣的高山族是指居於山地的族群，但高山族並非全部都居住在高山，下列哪一支原住民最晚遷至臺灣 定居而且是典型的海洋民族？,卑南族,泰雅族,阿美族,達悟族,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,勝志是平埔族人，自入贅惠君家後，家中重要事務都由女性主導，財產也屬於女方，請問勝志是處於何 種社會關係中？,奴隸社會,母系社會,階級社會,貴族社會,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,旅美好手陳金鋒從大聯盟退賽回國，投身臺灣職棒表現不俗，據世居臺南的陳家族人表示陳金峰家族具 有原住民血統。就地緣關係推論，陳金峰應該是何族的後代？,鄒族,平埔族,魯凱族,賽夏族,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,小朱要參加學校的戶外教學，所以他上網找到如下的資料：「西元1955年秋天，一位空軍少校飛越觀音 山上空時，因飛機上的羅盤出現磁力異常反應，推測該地可能有大規模鐵礦床。後來經調查結果，確認是史前 煉鐵的遺留，同時亦發現許多史前陶片等，因而判斷此處為史前遺址，並依據該地地名命名。」據此判斷，小 朱要去的目的地是何處？,高雄的歷史博物館,臺東的史前文化博物館,八里的十三行博物館,臺北的故宮博物院,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,閩南語中的「牽手」意指「妻子」，這種用法並非漢人固有的語言，而是早期漢人和哪一族群長期通婚 的結果？,平埔族,客家人,外省人,高山族,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,原住民工藝技術非常靈活，費南度同學身上總是配戴著父親雕刻的百步蛇雕，根據原住民的文化特徵推 論，費南度同學最有可能是哪一族？,布農族,賽夏族,達悟族,魯凱族,D,正確答案為 D。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,杰倫約Hebe至苗栗向天湖參加原住民祭典，他們看到的景象應該為何？,阿美族的豐年祭,達悟族的飛魚祭,賽夏族的矮靈祭,鄒族人吟唱高山青,C,正確答案為 C。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,蔡老師利用資訊媒體教授臺灣原住民泰雅族習俗，其中一張圖片出現一名女生正在接受族中長老的臉部 刺青，這張圖反映了泰雅族人的一種重要儀式，其意義為何？,犯罪的人,已經成年,出生貴族,膽色過人,B,正確答案為 B。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
第一冊,臺灣的歷史,92課綱-史前時代,社會第一冊_臺灣的歷史_92課綱-史前時代,玉屏隨著考察團來到臺南一帶，發現居住在此地的原住民有祀壺習慣，而且他們稱呼自己的妻子叫 「牽手」，請問玉屏考察的是哪一族原住民？,平埔族,布農族,泰雅族,排灣族,A,正確答案為 A。原始來源未附詳解，建議先回頭比對題幹條件與正確選項。,2,92課綱-史前時代 | 社會第一冊_臺灣的歷史_92課綱-史前時代,第一冊,臺灣的歷史,92課綱-史前時代
