冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,1,"Jane: What's this boy's name?
Tom: __________ name is Bob.",Your,My,His,,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,2,That is ___________ ball.,Tina and Mary,Tina's and Mary,Tina and Mary's,Tina's and Mary's,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,3,"Andy Chen: What time is it now?
Andy Huang: _________. Time for lunch!",It's almost noon.,My watch says 7:00 p.m.,Give me a break!,Have a good time!,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,4,"Shao-ting: ________ are these boxes for?
Jing-hua: Oh, I need them to take all my books home. Tomorrow is the last
day of school, remember?",Who,What,Where,Why,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,5,This is my brother. ________ name is Mike.,Her,His,He,She,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,6,This dog is little. __________ legs are short.,It,Its,It's,He,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,7,Nancy is a student. __________ school is very big.,His,Its,You,Nancy's,,,D,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,8,"A: Is this Mary's English book?
B: __________","No, it isn't an English book.","Yes, she is.","Yes, it's her book.","No, she isn't an English book.",,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,9,"A: __________
B: Those are shoes.",What are those?,What is that?,Are those your shoes?,Do you have shoes?,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,10,"A: What is this?
B: ___________",Those are cars.,This car is big.,This is a big car.,These cars are big.,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
